========================================================================================================
Results of exercise 1 with grid of 101x101, time discretization 99 and tolerance 1.000000e-12
========================================================================================================
Time = 5.52159e+00 	Iterations = 922 	Error = 6.900790114821e-01
Time = 5.58505e+00 	Iterations = 934 	Error = 6.427876096865e-01
Time = 5.64852e+00 	Iterations = 937 	Error = 5.929079290546e-01
Time = 5.71199e+00 	Iterations = 944 	Error = 5.406408174556e-01
Time = 5.77545e+00 	Iterations = 954 	Error = 4.861967361005e-01
Time = 5.83892e+00 	Iterations = 958 	Error = 4.297949120892e-01
Time = 5.90239e+00 	Iterations = 958 	Error = 3.716624556603e-01
Time = 5.96585e+00 	Iterations = 961 	Error = 3.120334456985e-01
Time = 6.02932e+00 	Iterations = 990 	Error = 2.511479871811e-01
Time = 6.09279e+00 	Iterations = 978 	Error = 1.892512443604e-01
Time = 6.15625e+00 	Iterations = 995 	Error = 1.265924535737e-01
Time = 6.21972e+00 	Iterations = 996 	Error = 6.342391965656e-02
Time = 6.28319e+00 	Iterations = 1009 	Error = 2.449293598295e-16
